name,reviews
Rebecca Van Hoosen,They were very useful when I needed them. The interest accrues pretty much every day. If you get a large loan it is very hard to pay back even when you do pay extra. Just be careful with how much you take.
Kelvin,CasshNetUSA provided me with an opportunity to alleviate some of the pain of worrying about how to resolve some of my existing debt.
RALA,I really like the customer support when I have a issue they are professional and prompt and put me first this makes my experience better I can count on CashNetUSA when I need some financial support.
Patrick Waugh,"CashNetUSA is a great service for very short term, payday-like loans.  Because their APR is like 300%, never use them if you can’t pay it off in full quickly.  Use Solo (iPhone app) for lower rates. Both are very easy to sign up with and use, and very quickly provide funding you need. I highly recommend them."
B B,I really like Cash Net they are always there when I need them. I just wish that they would increase my limit. But I am really thankful for Cash Net.
B,Answered all questions was fast from beginning to end gave me all answers to questions I had from applying to having questions about after approval
Bo,This company is dangerous. Once you take out a loan. Good luck..they make sure you'll wont be able to pay it off. Paid ahead of time only to find out it did not matter. They still going to keep raising your amount.
IYANNA,"It was super easy to do the application, I got a good amount approved and it took only 2 days for funds to be deposited. It was overall a smooth process. They didn’t pay me to make this review."
JT,"I've been making my payments on time, every time, but I haven't gotten an increase in a very long time."
Crystal brown,I did take out a few loans but the interest is ridiculous. I am not borrowing anymore money and just wanna pay my balance of as soon as possible. Sorry but I will never use this again.
Cieairo Tarver,"I never had a problem with this company until now. I advise no one to do business with this company and I will make sure it does get told across advertisements. The second to last customer service’s rep provided misleading information. I have the app installed on my phone, can access any funds at any time. There was a low balance to pay on my account but if I need more I can get more. But before completing my process through the app wanted to make sure I was able to afford the payment’s. Spoke with the guy he explain he can’t provide the exact amount but will not exceed over $350. Because we want to make sure people are able to pay back their loan. So after he explained the information and looking over my I account. Completed everything through the app. Then new bill cycle generated check the portal my damn payments almost $400 dollars. If the guy would have provided correct information I would never pushed forward. So after seeing the information in the portal I contacted customer services. The lady explained she apologize for the misleading information she can split the payment up. I can’t do that every time this is ridiculous I will go further to push this matter even if I have take it to court. All calls are recorded so they will have play back the information on those days I contacted customer services."
Lesa M,"Easy access, quick delivery of cash when needed, and fast credit of payments"
RACHAEL,My experience was easy fast. Not alot of paper work. Just give the basic personal information wait a few minutes to be accepted. Then check your bank account in a few hours. Then do what you need to do with your money.
C.T.,Overall experience was good. The outcome of my concerns were addressed and resolved. My online chat assistance was excellent. A very positive satisfactory rating.
Jonathan,I called to check that status of my application. The customer service that I received was excellent. I look forward doing business with you you all in the future.
Laurie,I’ve had a good experience with cash in it I will continue to use them when I need them thank you
Daniel,I’ve had difficult experiences in the past to get money loans but CashNetUsa really did make it easy for me to get a loan and the process itself was easy as well
Sonja Lady,The experience I had this afternoon with cash net usa representative was pleasant and quite extraordinary. The representative was experienced and had exceptional customer service skills.
MARVIN,People can't catch up with themselves because of the money y'all charge
Doses,They're taking advantage of the poor over charging 275% interest rate.
Tammy Herrington,I don't understand how my first payment was $125.00 and then the second was $192.00 now the next one is $197.00 why are the payments constantly going up an not a set payment amount
DANGELO,They were straight to the point with no delay in helping me with my question.
Lianne Moore,I applied and approved in just minutes. The process was was simple and fast. I started the app at 11am and had received my money by 4pm. This was an awesome experience. I would recommend to everyone.
Phyllis,"The process was easy and prompt. The young lady was polite and knowledgeable. Personally was very pleasing. Thank you,🌹"
Anna,Ideal for a short term loan to pay off debts and cover unexpected expenses.
Kenisha,I was recently laid off and Toshiba helped we schedule when I can resolve my account. She gave my options and I appreciated that.
Darlene Peina,Good morning CashNetUSA. Wow less than 30 minutes I got approved for a loan.Very simple and easy to apply. Thank you
TOMMIE L MAGGITT,"I advise anyone that come across or have money problems, to give CashNetUSA a call. They help me when I needed help the most."
StephW,Stress free deposits directly into your account. Big help when money is needed asap!! Would definitely use again.
Carol,This rep. Wads.good at his job and answered all my questions. He knows his.job and.preformes it.great.
Keri X,Amazing. I was able to get enough money to pay the bills that needed to be paid until my next pay day! Extremely grateful!!
pedro,Well  I  call the number n they answer told  him about the letter i got from you guy's you were offering money.
Latoya,Natasha was very knowledgeable and patient and friendly. She explained everything in detail and answered any questions I asked by far one of the most detailed representatives ever
JOANN,Brianna helped ease my worries about my current situation.
DENISE,I called and had lots of questions to understand about how this works and the associate was very knowledgeable of all the questions I asked! It was a great conversation!!
Mark Duckson,Simplicity of request and approval are an absolute plus
Chyrel,"Excellent service from CHANDELIERS customer service, professional and courteous. Thank you CHANDELIER."
John Harris,Representative understood my account needs and provided great transaction
anthony,I was approve waiting on money to hit my account love working with you guys quick and fast
clarence,I was asking about the type of loan that I was interested in.The lady was very informative and she answered all of my questions.
Frances ,The request was easy and the money was deposited the same day.
Robert,I don’t like doing reviews if I have a bad experience I’ll let you know
RUBY,First time with you all and it was a wonderful time.  All went well and a big Thank You for helping me out in my time
Gary Gibson,Transactions are always timely. service is excellent
Ciera Jones,"The representative was the great at showing knowledge, answering questions and putting the customer first!"
Karen,Super easy...no issues at all.  I had an answer in 5 mins.  Thank you
MOHAMMED,Very Smooth Process Never felt how easy to get loan in difficult times :) 5 Stars*****
Michelle Tillman,Always three when I'm in need with my credit line.
Mitchell Fortenberry,"Always helpful, would send anyone to your website"
DisneyDad,Needed to know when funds would be deposited and she answered with a clear and understandable answer.
Alvaro,After setting up bank info the rest was cake! WILL Use this service again thanks.
Teena Case,I'm very happy with this Loan company . I wouldn't never go any where else for a loan . Thank you
DEPERICA,They didn’t tell my payment was going to be over 200 an some dollar an the 10 a day payment stuff
Janice,"she was very kind, understanding,  friendly,  patient,  as have all of the persons been."
Paula,Mitchel resolved the issue. I had left out a very important issue and he was able to resolve it.
Lorraine Joseph,No matter how much you borrow everyday your balance goes up that’s not fair at all. The banks don’t even do that
Cheri,I had a very good experience from beginning to the funds being deposited in my account the same day.
JAMES ROSS,It was great fast and easy approval time very fast even on weekends
Daphne,My representative was very helpful in answering all my questions and concerns throughly.
BIRDENE,My deposit didn't deposit to my account the same day as promised
James,You will never get our from under the interest rates. I
emil ballard,Your company is just awesome. You come right on time when I need you.
CARRIE,I experienced very respectful and patient care
Benjamin ,Excellent Service and Mitchel was able to resolve and Answer all my questions in 5 minutes.
SHALEE,It was really helpful and the lady that helped me with my application was so honest with all my questions that I asked.
BOBBIE,Everyone I have dealt with has been very helpful and very polite.  They seem to be well informed.
Juanita,Customer service is great with cash net USA
Donna,Everything was done in a timely manner and professional thank you so much for the help
Charlene,The young lady was exceptionally professional and caring during the whole phone call!
Crystal,Cash net USA has helped me when I needed it. I needed help and they helped me.
Cindy,Good service and provides options if unable to pay and good customer
Andre,I truly miss CashNet USA services for Payloans services in California. Come back soon!😇
Christopher,She took the time and gave me the info I needed to assure me my deposit would be today.
Shashawna,"Communication was easy-going and constructive, helpful with a feeling of warmth."
James,Everything was quick and smooth. Very timely.
Patricia,Can we update account information asap
Douglas Smith,I had a great experience and wonderful customer service thank you
Heather,It was quick and easy! I will be using CashNetUSA again in the future! It was a great experience!
Victoria,I will never get a loan from these people again they are nothing but rip offs
LUCILLE,Did an application over the phone was quick
brenda,It was on time to help me out
TYWAN,Very pleasant to deal with. Tamara had my problem solved immediately!
Heidi,She was very patient and worked with us the whole way through.
ROBERT,Alexander took care of my situation in a fast friendly timely manner
Penn Shimano,Very easy no wait time very efficient and simple
Cynthia,Excellent Customer service and excellent experience.  No long wait.
Lulu,Stephanie was great and informative. She changed my mind about their product.
Jolanda,The customer Rep listen to my needs and was very helpful.
Melvin,Easy to use and very helpful in tight spots.
My experience,I enjoy all the items that I have received. They've been on time and in perfect condition.
Sonya,the employees are kind and helpful. they listen with patience
cameron,Wouldn't except checking account. Otherwise I would have given a 5
Karen,I love that you can pay back the loan in full without interest rates.
ANTONIO,Very nice and helpful
MICHELLE,Wasn't sure of it. Came when I needed it most! Quick and easy!
Antonio,I Previously WROTE REVIEW!
Haley,Brooke was so kind and explained everything thoroughly
Ronnie,Excellent communication treated customer good gave me all information i needed.
MONICA,It's was wonderful
Helen,Watch out there is a scam with the same name don’t fall for it
Tyn,"Loved the service, easy to use and understand."
WENDY,It was the best loan experience ever. Highly recommended
Jose,Gwendolyn was very helpful and understanding. Thank you!
Sharon,"CashNetUSA has been very helpful, and very easy to use!"
SHANTELL,Very helpful best I had after someone was talking to me lol
Nancy Psenicka,Very nice guide
Rodolfo,Under a stressful situation with identity theft. Helped in time of need.
ANITA,Very easy to work the website and online experience was great.
Leonard,Got the money fast and easy with no hassle
Jessica,Wonderful customer service experience each and every time.  Thank you.
Ricky,Good job and great customer service to help me out
ADAM,I just could get my phone to work very good
John Varghese,I was satisfied with the customer service
Michael Patrick R,I wanted to delete my account but she won’t do it
june buchanan,Awesome service! Keep up the great work
Nathan Davis,Great fullness
SCOTT,"My CSR, Samantha is an ultimate professional"
Lori,Things went better than I expected.
DEBBY L. SCHAFFER ,My issue was resolved
DERRICK,Amazing service and customer support. 5 Stars!
A real Customer,Easy to use. Easy to understand.
Neale,Ariel is an excellent representative
Orville lee combs,The customer service was excellent
Ernestine,I was happy with how fast I was approved.
Jordan Hawkins,My experience was wonderful
Mercy,They were very nice and professional
Jessica,Excellent expedited service
Troy,Easy process and fast decision...
customer,Easy. quick and get your money fast.
Sherri,My service was met
GAIL,It was fast and efficient
DARREN,EXPLAINED MY QUESTION
DIANE,Great business very good people
CHARLES S.,just ridiculous
LINDA Wannamaker,Wonderful experience
Bobbie,It was great!
Barbara,Great experience
CYPRIAN,"They give loans same day which is super helpful in an emergency,  their costumer service when you call is top notch they really care about you and concerns."
Guest,Everyone I texted and talked to were courteous and patient with me
JAMIE,Whenever I need assistance they are always there
Vivian,Very happy with how easy it is to get a loan and set up payment installments
Logan,My experience was excellent.Polite and great customer service
Heidi,I applied for a loan and was approved and funds were in my account same day! Fast speedy service!!
Carrie,Been a great way to keep finances afloat.
Nikki,Friendly and thoughtful. Thank you!
Sonji,I just wanted to see if my first payment get thru! Thank you!
Maliak,Jonathan was extremely pleasant to speak with and resolved my issue professionally.
Jennifer,Sheila was amazing and so sweet.
evelyn,Grateful for the help they give and I’ve only had respectful interaction with them.
ERNESTO,"I was skeptical.  But the entire process was very simple because even I could do it. I'm not very good on a computer much less a phone.  I was able to get it all figured out, with a short chat with customer service.  I was approved  and I ordered my first draw the next day. It didnt take very long at all. I was pleasantly surprised."
tyah,I couldn't find anything from the website about how to use the line of credit or was there a credit card. I also told her that I was going to build my credit with this card. She explained about the credit and That they don't report to the credit bureau.
Danny,The representative was very helpful to this senior citizen and answer all my questions.
EDITH,I was checking on the deposit to be made in my account. He answered my questions and was extremely nice and polite when he did.
Debbie,First it indicated we were approved then when we call we were told we were not!!
DATHAN,My assistant was dead on and knew her information. She needs a raise. Thank you!
LB Willis,They were prompt and helped right away
Ronald,I needed cash and she was able to walk me through my issues 😌
Tracy,It was a toss up between 4 & 5 only bc I thought I'd receive the funds a lil faster but I went with the 5 due to yall even being available to work with some of us trying to get back on our feet! Thanks
Falon,"Opened a line of credit, was told I couldn’t borrow against it until my email was verified, (which already was, I already took the loan?) then 5 minutes later when I hadn’t touched a thing I receive an email saying 575 has been borrowed against the line of credit. Avoid this scam."
THOMAS,I was able to update my info and renew my loan
Tyi,Great customer service she needs a raise
William,Had a very good experience with Carla she was very knowledgeable in her field of expertise she showed good communication skills and took down my information quickly and in a timely fashion and she updated my info in the system and forwarded my payment for me so that I could back on track to paying off my loan
JORDAN,The lady was very professional and polite
NAOMI,You are always there for me in a pinch. I have enjoyed the ease of our relationship. Very satisfied.
Efosa,It was my time calling Cashnet and very professional. I would refer my friends and family to cashnet.
Damon P. Lawlis,When i called for help they were very nice and helpful
James,I had just recently lost my aunt and had to take some time off from work and needed some help to get through and cash net was there to help when no one else was!
ALFRED,"Service was quick and easy, funding was just as great.  The only reason I didn't give you a 5 five-star rating is the cost.  I feel you are about 10% too high on your interest."
Dessy,"She was very helpful and explained in detail what questions I had. Very professional, knew her job well."
Christine Schultz,It was a great customer service very helpful and great information
Helen,"Went very smoothly, easy to do only takes about 10 min. Application was easy & self explanatory."
Kortez,She was right on point my problem was taken care of
Barbara,"Your Interest Rates seem Illegal. I know you lend Money to People with Poor Credit Scores, but It's a Huge burden to those of Us that have suffered big set backs."
MICHAEL,The absolute best customer service !!!!  Thank you.
GRACIELA,"This is new to me and I will know more when/if I get another advance up to the limit. But so far, it has met my expectations quite well. I applied yesterday and the money was in my account today. Can't beat that!"
Seth,The process was smooth and fast responds.
Javon Gaither,Help me with my appacatiin
Russell,Excellent service as always.  Thank you!
Angela M,It was easy and super simple. Got it next day in my accou t and things are going to be OK. Thank you!!!!Will most definitely refer you to friends!
SHUN,Everyone is super helpful
Jay,Everything was simple and loved how quickly the funds are given to help with bills
Michael,"never do business with them, total ripoff. very greedy. you will loose a lot money"
RUBEN,"Everything was fast , and very simple and quick it doesn’t hurt to try !!"
Israel,I was helped by Brittany she done an excellent job .
William,The service is always fast and good enjoy working with you
Regina,Excellent customer service
Veronica,"Excellent service, obtained a loan in a flash."
Jean Morales,It is fine if I don’t get approved. I gave all my personal information and no response. Thanks.
Amanda Kirby,Don’t do it! No matter how broke you are. They’ll charge 200% interest and daily charge of .3% so everyday your loan will increase as long as you have an outstanding balance. Which only puts you more in debt than you already are. So I suggest another option! NOT THIS OPTION!!!
Cedric Walker,"Great, Fast Fast Fast"
Ronikia,"I would highly recommend this site. If you need quick  money for anything, it is a quick and easy process."
Ken Dean,You where so nice to answer all my question and explaining things to me
Marely,This is to tell you unless you absolutely 100% have no other choice do yourself a favor and forget about this company they will rob you blind 300 % interest this should be against the law they're no better than a thief robbing you in an alleyway I got this loan because my daughter said they were great let me tell you they're not the payments were extremely high and every 2 weeks I pay less on my car payment than I do with this I will NEVER EVER EVER go through these thieves ever again just saying you've been warned
Catherine Matyas,Very thorough
Denise Ward,Helpful in handling my payment
Kerri,"So far so good, no negative issues."
Justin,"Great Service. Interest rates are high, but that comes with the territory. The process is simple and efficient and can help you out when you get in a jam."
Sue,You guys was helpful and out standing
Margaret,The customer service was excellent and so pleasant. Dajah made me feel comfortable in getting the short term loan I needed and answered all my questions with expertise. I hope everyone has the same top notch customer service she gave.
Wanda perry,The online app is very easy to follow very easy to understand when I called and had a question quick answer all was easy
STACIE,"It was very quick and easy. However, being able to find out the payment schedule and talk to a live agent via chat is virtually impossible. But other than that it was good."
David,I've never had a problem with CashNet.  Thank youThey're always there when I need them G. Clark
Steve,"The application process is easy and approval was very fast.  I receive e-mail reminders about upcoming payments, which is helpful, and also e-mails about the status of my account - also helpful.  I requested a draw yesterday morning and had the money in my account approx. 6 hours later.  Great experience with CashNetUSA."
Jacob,Received response quickly. Very glad to have chosen your business. Thank You.
LOUIE,I had a good experience very nice and caring.
LASAMOA,Was very helpful and good  quick and loved the customer
JEREMI,Always there to help!!!!  Easy to use too!
CODY,"Very quick and easy.  Deposit was fast.  I am concerned over the interest rate, but do understand it."
Johnnie,She answered my question and got done what I needed to get done thank you all so much
Kendall,The customer service representative was nice
Shuna,I normally woulda been giving a great review since never had any issues with them .. however recently I tried renewing & now denied in which the denial states something to the effect of not enough creditials which is incorrect Due to I have always paid back early & in full & a day before I decided to take the loan I had already been approved .. had I known it was gonna change I would have just renewed that day
Jonathan,Great vustomer
Verne,"Cashnet was great at trying to help me, they talk to me like they cared!!"
Kimberlee,Prompt customer service. Instant deposits and follow ups on transactions. Thank You Cash USA for your loyalty to your customers.
Rosalind Scales,Many people have problems with their_< finances and we find ourselves in need of resorting to loans to solve the situation.  Cashnet immediately resolves this situation by helping us get out of additional debt.  It is easy and very flexible with payments.  They have an excellent costumer service and their associates are characterized by their courtesy.  I love Cashnet and I always recommend it
BRITTANY,"I was happy that I could get a loan and, I needed cash real fast. It was fast and, it was a nice experience."
Ginger Holtsclaw Centers,"It was never clear to me how much i was going to pay and how often i was going to pay i was borrowed 1,100 and interest was like 500$ and i have to pay $186.00 every 2 weeks this is ridiculous instead of helping they are screwing me i have a $3,500 loan through the bank and its monthly and its $70 less i will NEVER get a loan through these people again they are thieves in disguise 🥸 I cant wait to pay them off!!! Bunch of crooks!! All i see is bad reports idk what i was thinking!!I highly don’t recommend these people to anyone!!"
Cyd,Every question I asked was answered they sound like professionals
Jacob,Service was complete and efficient.
Roberto,I was behind my paymemt and during that time with health and it took me a month to get better. You must understand and you did. Thank you very much.
Penny,It was good the lady’s I talk to where very helpful thanks again
DIANNE,"I was helped with my issue with patience,and problem was solved quickly."
Patricia Durham,My tequest was processed with excellent customer service and in one phone call.
Jennifer,Thanks to CashNetUSA I’ve been able to stay a float during this strange economical time.
Melvin,"If you in a bind Nate, CashNetUSA got you!"
"Timothy-Leesburg,VA",Website was easy to get through also I was approved within minutes of applying
Carm,Quick approval which is great for a time of need but the interest rates are TERRIBLE.
Dustin Pulley,Always there for me with outstanding service!
Cindy,Called cashnet USA today as they requested about the 300% interest rates. They won't work with you except to extend payments or split them getting you farther and farther into debt as they continue to collect that high interest. It's like $14 a day!!!!  Being on social Security and elderly doesn't mean anything to them. Companies like this force you into bankruptcy.  I have a $2500 loan with another on line company and payments are not even half that.  All I can say is I would highly recommend against borrowing from this company.
Travis,Approval was very fast and courteous and really got me out of a jam
RONALD,"Website is super user friendly. This is fast and easy money, but horribly expensive. The interest makes it impossible to pay down if you can’t pay the whole balance right away."
Jennifer,Love CashNetUSA they are great company you get your money the same day and when you pay your payment you can get another portal loan I don't know much on how to explain it but its been a big help for me I so Glad I found this coupon thanks CashNetUSA
Jayelyne ,Excellent attention to my needs. Made me feel important to the company
Virginia,Very good company.  Willing to work with you if problems arise.  Recommend highly.
Kristian,I never get my money same day. When it says it's going to deposit next day be late the next day and still have missed everything I need to pay. So usually takes 2 days to get it but my payments be on time. No problem.
MONIQUE,Highly recommend CashNetUSA. Super quick and easy process. Funds same day. Great company
Deedra,Got the money the same day. Helpful.
Jennifer P,It was great satisfying efficient well explained detailed the young lady that helped me deserves a raise
MICHAEL,The representative was very helpful and knowledgable! She understood my concern and explained it to ny understanding!
customer,This company is a company that takes advantage of individuals. It charges the highest rate possible on daily interest. You can only hope they get ran out of business by reasonable companies that offer fair and affordable rates. BestEgg offers actual companies with normal loans. This place is operated like a check writing service. Do not use them. I got a $1500 loan and my first 3 payments will add up to $1300 then I will be expected to continue payments until April of 2024.
Damah,Always there when I need them! An absolute life saver. Keep up the fantastic work.
ronnie,I have been with cash net usa  and I am so please  with the service   and thank you .
Wanda,I just got ruled as disabled and need help paying my recent loan
DEBRA,Helpful and friendly
DANNY,"The interest rate is completely abhorrent but I was approved instantly for a line of credit that was deposited directly into my bank account. The one company that decided to give me a loan when I really needed it many months ago, so for that I’m thankful."
Tawny Spragling,Outstanding service.  Easy to work with and customer service reps. are knowledgable and polite.
Shavon Taylor,"Amazing company. They are so incredibly helpful and willing to work with their clients. Communication is key and this company has been fast in response, and knowledgeable when inquiring about my account. Thank you!"
Amalia A,I thank you for the help. But taking payment out of each paycheck that leaves nothing to pay bills with or buy food is becoming a burden!!
STEPHEN ECKHARDT,I love cashnet my line of credit has came in handy I don't know how many times and if something comes up with a payment they are very easy to work with I recommend them to everyone I know when they talk about getting a loan thank you cashnet.
Loye,"The young lady who helped me, after I had issues online finishing up the application, was the best customer service person I've ever dealt with. I applaud her for helping me. She made me feel important. Thank you!!!"
Rocky Romano,"Taking your money back,on time! Doing good!"
Steven,They are awesome. Been with them years. Never any harassment from them. Love because when need that little extra help there always there for ya. Payment plan very affordable.
Marna,I am a satisfied customer and I respect the company that I borrow and make loans through .Cashnetusa will always be my first choice in all my financial matters.I reccomend Cashnetusa  and trust them emphatically. Thank you Cashnetusa.
Wayne,I don’t like the fact that it takes days for my payment to post which appears as if I’ll never paid it off unless the scheduled payment plus additional monies is paid too!! It deters you from having an available balance to draw from and it appears the payment isn’t getting paid down.
Charlie Hancock,Very friendly and knowledgeable
Brian,Predatory loan terms that should be criminal and fined into bankruptcy.
Shelby Colman,I was able to request the draw I needed and it was deposited into my checking the same day.
Frankie,"CashNetUSA have been a blessing to me, because I needed money right now. They help me out and I will tell anybody to try they. God bless."
SARAH,"Very fair, have the best rates above all cash advance companies. Excellent Customer Service."
Gloria,Well I thought I made arrangement to pay my bill and now may account is in overdraft because of the payment
Loyz,Payments and interest way too high!! They don't properly inform you of what you're getting into. It's a scam!!!!! I paid my balance in less than 2 months and canceled my account!
jennifer,Very helpful and always has the cash when I need it. Very.fast and prompt.
John Farber,They can and will help with a small loan to help in a time of need.
Brian,They provided me with the money that I needed right in the knick of time. I would recommend them if you find yourself in a bind.
Jimmie,Payments are way too high that I can not keep up. They keep raising my credit limit when I did not ask them to!
Donna,THIS IS A TOTAL RIP OFF TO ME! IN JULY I GOT A LOAN OF $900. THEY DO A DIRECT WITHDRAWAL FROM MY ACCOUNT BI-WEEKLY WHEN I AM PAID. THEY HAVE TAKE OUT OF ATLEAST 6 OF MY CHECK. EANGING FROM $100-$160. WHY SHOULD I STILL HAVE A BALANCE OF $825? WHY MUST INTEREST CHARGES KEEP ADDING UP IF I AM ON A PAYMENT PLAN WITH THEM BI-WEEKLY?? AN ABSOLUTE RIP OFF!! NEVER AGAIN WILL I EVER DEAL WITH THEM OR RECOMMEND ANYONE TO THEM!!
DANA,My experience with Cashnet has been very good.
Christine,"Beware! CashNet are always there when you need it. However, be careful! The loan docs don't say how much you will be paying each payment until you get approved and the money is already on the way. I personally used them a few years ago and again just a few months ago with no change in how they do business. Payments are super high (car payment) for the first few months and then get lower to where you can afford it. It is not a steady payment plan where you can budget. I have it listed under ""last resort"" when I need a loan because of this. Beware!"
Priscilla,I wish the payment could be Aa smaller amount each month.  I had no ide it would be as large as it is.
Ceterra,"I appreciate your company lending me money. I am having a hard time paying off the balance before another payment is due. Is there anything your company can do to lessen this burden on me. I understand if you can’t, it’s just hard to make a $800 payment on a $3000( approximately) three or 4 months and still owe the majority of the principal. Any help would be appreciated. Thank you."
Rt,"CashNetUsa has taught me a very important lesson--make sure you read all the fine print before you make a deal. About a month ago I borrowed $1500 and was hit with an automatic withdrawal payment of over $350 for my first payment. Now I have a $430+ payment due and owe a total of over $1700.. The key to doing business with this company is to be able off your entire bill before the first payment is due, otherwise you will hand out money until you run out of it completely."
MYRIAM,They were quick and efficient.
Patricia,"So easy to use and helpful when help can seem hard to find. Thank you, CashNet!"
Danny Gilbert Jr.,"It’s been very helpful to have you guys a click away, especially in an emergency. Recently I got Covid, followed by pneumonia and laryngitis. Being out of work was scary, but cashNetUSA was able to help with my bills. While the interest rate is insanely high, it’s good to know you’re there.( just wish you were cheaper lol)"
Jacqueline,"I am so impressed with the speed, efficiency and ease of your service."
Deanna Legrand,Very friendly cusiomer service interaction who explained how the process worked. The process was speedy and simple.
joyce,I won't be using yall again after I get yall paid off because it's impossible  to pay yall back in payments.  I don't make enough money to pay it all back at one time and every time I make a payment even if it's over what I owe on that statement by the time I make another payment it's like I haven't paid anything
Jose,"They helped me when I needed it, quick and responsive to you. Thank you!"
Amber Stanford,Well it’s great to be able to get a loan base on your credit but not good to keep raising the price for payment everytime you get paid! I am getting further in hole with this loan than I ever did! I can’t wait to pay it off because now I know I won’t do this again
blanca vrotsos,"CashNet has been a life saver for us many times,The service is Great and really simple and reliable to use I would refer anyone who needs a fast easy way to get out of a cash flo bind... like the add says,,,Moneys On The Way with CashNet"
LAURIE,They  are  very good  loan to have for when u need cash    quick fast and easy  I really  like them ans I tell everyone  about it   that I know  can get  approved  I really like how  if u need to request  money u will get it the same day or the next day. To your  bank account  payment  is easy along  setup  to come out of the bank u never have to worry  about  missing  it if u need to sup a payment  call 2 weeks ahead  and they work with u   I really  like  it and recommend  them 😊
Glenn,I really appreciate the help with my issue. Patricia was helpful and patient with me.
Antonia Valadez,CaahNet has been a great  help with some financial needs. I have always had a good experience with CashNet. Thank all whom has worked with me.
Rebecca,If you guys had a smaller payment amount it would really make a world of a difference repaying the loan back those large payments are sometimes difficult 🤔
Janice,"Never have a problem, when I call the people I speak to are helpful and friendly, great service  THANKS"
STEVEN,Always easy to get request and questions answered! Very easy navigation of my online account
Carrie Harris,The person that helped me was wonderful and I would advise anybody to do a loan with cashnetusa
